Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score,Runtime (s)
Logistic_Regression,0.9166998804304504,0.9163090128755365,0.6060606060606061,1.0,0.7547169811320755,0.05498504638671875
Random_Forest,1.0,1.0,1.0,1.0,1.0,0.3730590343475342
XGBoost,0.9994481405402091,0.9993562231759656,0.9994422755158952,0.9955555555555555,0.9974951294183134,0.09769582748413086
CatBoost,1.0,1.0,1.0,1.0,1.0,4.0517418384552
Stacking_Ensemble,0.9999386822822455,0.9999284692417739,1.0,0.9994444444444445,0.999722145040289,2.4162039756774902
