,Accuracy,F1 Score,ROC-AUC
Logistic Regression,0.9048680305802262,0.9115040615048283,0.9900251486270173
Random Forest,0.9812889832478031,0.9811345254226455,0.9968260371992944
XGBoost,0.9806361221860547,0.9804549994185663,0.9974877310832128
CatBoost,0.9814367968389398,0.9812716751368715,0.9976707153892932
Stacking Ensemble,0.9814491121095023,0.9813262436883774,0.997519132726649
