Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score,Runtime (s)
Logistic_Regression,0.9190200226903382,0.9137215624552869,0.5988023952095808,1.0,0.7490636704119851,0.05173993110656738
Random_Forest,1.0,1.0,1.0,1.0,1.0,0.4978349208831787
XGBoost,0.9997240364271917,0.999928459007011,1.0,0.9994444444444445,0.999722145040289,0.0994729995727539
CatBoost,1.0,1.0,1.0,1.0,1.0,4.1749351024627686
Stacking_Ensemble,0.9999386747615981,1.0,1.0,1.0,1.0,2.8989248275756836
