Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score,Runtime (s)
Logistic_Regression,0.917098445595855,0.915379113018598,0.6034193764666443,1.0,0.7526656909889191,0.03099966049194336
Random_Forest,1.0,0.9999284692417739,1.0,0.9994444444444445,0.999722145040289,0.34320521354675293
XGBoost,1.0,0.999856938483548,1.0,0.9988888888888889,0.9994441356309061,0.09742379188537598
CatBoost,1.0,0.9999284692417739,1.0,0.9994444444444445,0.999722145040289,3.270047903060913
Stacking_Ensemble,1.0,0.9999284692417739,1.0,0.9994444444444445,0.999722145040289,2.1432602405548096
