,Accuracy,F1 Score,ROC-AUC
Logistic Regression,0.9036699507389162,0.9114103317300868,0.895386978572642
Random Forest,0.9146059113300492,0.9184727665378729,0.9428615927345968
XGBoost,0.9146059113300493,0.9187495312050824,0.9434233207551748
CatBoost,0.9145566502463055,0.9185874583729688,0.9432818832051252
Stacking Ensemble,0.9153694581280789,0.9194238557740324,0.9122883927054769
