iter	Passed	Remaining
418	2487	3449
419	2493	3443
420	2499	3437
421	2504	3430
422	2510	3424
423	2517	3420
424	2523	3413
425	2528	3407
426	2533	3400
427	2538	3392
428	2544	3386
429	2548	3378
430	2554	3372
431	2559	3365
432	2564	3358
433	2569	3350
434	2574	3343
435	2579	3337
436	2584	3330
437	2589	3322
438	2595	3316
439	2600	3309
440	2605	3302
441	2610	3295
442	2615	3288
443	2620	3281
444	2625	3274
445	2630	3267
446	2635	3261
447	2641	3254
448	2646	3247
449	2651	3241
450	2656	3234
451	2662	3227
452	2667	3220
453	2672	3213
454	2677	3206
455	2682	3199
456	2687	3192
457	2692	3186
458	2697	3179
459	2702	3173
460	2709	3167
461	2714	3160
462	2719	3154
463	2724	3147
464	2729	3140
465	2734	3133
466	2739	3127
467	2744	3120
468	2749	3113
469	2755	3106
470	2760	3100
471	2765	3093
472	2770	3086
473	2775	3080
474	2780	3073
475	2786	3067
476	2791	3060
477	2796	3053
478	2801	3046
479	2806	3040
480	2811	3034
481	2817	3027
482	2822	3020
483	2827	3014
484	2832	3007
485	2838	3001
486	2843	2995
487	2848	2988
488	2853	2982
489	2859	2975
490	2864	2969
491	2869	2962
492	2874	2956
493	2879	2949
494	2884	2943
495	2890	2936
496	2894	2929
497	2900	2923
498	2905	2916
499	2910	2910
500	2915	2904
501	2921	2898
502	2927	2892
503	2933	2887
504	2939	2880
505	2945	2875
506	2950	2868
507	2955	2862
508	2960	2856
509	2965	2849
510	2970	2842
511	2976	2836
512	2980	2829
513	2985	2823
514	2991	2816
515	2996	2810
516	3001	2804
517	3006	2797
518	3012	2791
519	3017	2785
520	3022	2778
521	3027	2772
522	3032	2765
523	3037	2759
524	3042	2753
525	3048	2746
526	3053	2740
527	3058	2733
528	3063	2727
529	3068	2720
530	3073	2714
531	3078	2707
532	3083	2701
533	3088	2694
534	3093	2688
535	3098	2682
536	3103	2675
537	3108	2669
538	3113	2663
539	3118	2656
540	3123	2650
541	3128	2643
542	3133	2637
543	3139	2631
544	3144	2625
545	3149	2618
546	3154	2612
547	3159	2606
548	3164	2599
549	3169	2593
550	3174	2587
551	3179	2580
552	3185	2574
553	3190	2568
554	3195	2562
555	3200	2556
556	3205	2549
557	3211	2543
558	3216	2537
559	3221	2530
560	3226	2524
561	3231	2518
562	3236	2512
563	3241	2505
564	3246	2499
565	3252	2493
566	3257	2487
567	3263	2481
568	3268	2475
569	3273	2469
570	3278	2463
571	3283	2456
572	3288	2450
573	3293	2444
574	3298	2438
575	3303	2431
576	3308	2425
577	3313	2419
578	3318	2412
579	3323	2406
580	3328	2400
581	3333	2394
582	3338	2388
583	3343	2381
584	3348	2375
585	3354	2369
586	3359	2363
587	3364	2357
588	3369	2351
589	3374	2344
590	3379	2338
591	3384	2332
592	3389	2326
593	3394	2320
594	3399	2314
595	3404	2307
596	3409	2301
597	3414	2295
598	3419	2289
599	3425	2283
600	3430	2277
601	3435	2271
602	3440	2265
603	3446	2259
604	3451	2253
605	3456	2247
606	3461	2241
607	3466	2235
608	3472	2229
609	3477	2223
610	3482	2217
611	3487	2211
612	3492	2205
613	3497	2199
614	3503	2192
615	3508	2186
616	3513	2180
617	3518	2174
618	3523	2168
619	3528	2162
620	3533	2156
621	3538	2150
622	3544	2144
623	3549	2138
624	3554	2132
625	3559	2126
626	3564	2120
627	3569	2114
628	3575	2108
629	3580	2102
630	3586	2097
631	3591	2091
632	3596	2084
633	3601	2079
634	3606	2073
635	3611	2066
636	3616	2061
637	3622	2055
638	3627	2049
639	3632	2043
640	3637	2037
641	3642	2031
642	3647	2025
643	3652	2019
644	3657	2013
645	3663	2007
646	3668	2001
647	3673	1995
648	3678	1989
649	3683	1983
650	3688	1977
651	3693	1971
652	3698	1965
653	3703	1959
654	3708	1953
655	3714	1947
656	3719	1941
657	3724	1935
658	3729	1929
659	3734	1923
660	3739	1917
661	3744	1911
662	3749	1905
663	3754	1899
664	3759	1893
665	3764	1887
666	3769	1882
667	3774	1876
668	3780	1870
669	3785	1864
670	3790	1858
671	3795	1852
672	3801	1846
673	3806	1840
674	3811	1834
675	3816	1829
676	3821	1823
677	3826	1817
678	3831	1811
679	3836	1805
680	3841	1799
681	3846	1793
682	3851	1787
683	3856	1781
684	3862	1775
685	3867	1770
686	3873	1764
687	3879	1759
688	3885	1753
689	3891	1748
690	3896	1742
691	3902	1736
692	3907	1731
693	3912	1725
694	3917	1719
695	3923	1713
696	3928	1707
697	3933	1701
698	3938	1696
699	3943	1690
700	3948	1684
701	3953	1678
702	3959	1672
703	3964	1666
704	3969	1661
705	3975	1655
706	3980	1649
707	3985	1643
708	3990	1637
709	3995	1632
710	4000	1626
711	4006	1620
712	4011	1614
713	4016	1609
714	4022	1603
715	4027	1597
716	4032	1591
717	4037	1585
718	4042	1580
719	4047	1574
720	4052	1568
721	4058	1562
722	4063	1556
723	4068	1551
724	4073	1545
725	4078	1539
726	4083	1533
727	4088	1527
728	4093	1521
729	4099	1516
730	4104	1510
731	4110	1504
732	4116	1499
733	4122	1494
734	4128	1488
735	4133	1482
736	4139	1477
737	4144	1471
738	4150	1465
739	4155	1459
740	4160	1454
741	4165	1448
742	4170	1442
743	4176	1436
744	4181	1431
745	4186	1425
746	4191	1419
747	4196	1413
748	4201	1408
749	4206	1402
750	4211	1396
751	4216	1390
752	4222	1384
753	4227	1379
754	4232	1373
755	4237	1367
756	4242	1362
757	4248	1356
758	4253	1350
759	4258	1344
760	4263	1339
761	4268	1333
762	4273	1327
763	4278	1321
764	4283	1315
765	4288	1310
766	4293	1304
767	4298	1298
768	4304	1292
769	4309	1287
770	4314	1281
771	4319	1275
772	4324	1269
773	4329	1264
774	4335	1258
775	4340	1252
776	4345	1247
777	4350	1241
778	4355	1235
779	4360	1230
780	4366	1224
781	4371	1218
782	4376	1212
783	4381	1207
784	4386	1201
785	4391	1195
786	4396	1189
787	4401	1184
788	4406	1178
789	4412	1172
790	4417	1167
791	4422	1161
792	4427	1155
793	4433	1150
794	4438	1144
795	4443	1138
796	4448	1133
797	4454	1127
798	4459	1121
799	4464	1116
800	4470	1110
801	4475	1104
802	4480	1099
803	4485	1093
804	4491	1087
805	4496	1082
806	4501	1076
807	4507	1071
808	4512	1065
809	4517	1059
810	4523	1054
811	4528	1048
812	4533	1042
813	4538	1037
814	4543	1031
815	4548	1025
816	4553	1020
817	4559	1014
818	4564	1008
819	4569	1003
820	4574	997
821	4579	991
822	4584	985
823	4589	980
824	4594	974
825	4599	968
826	4604	963
827	4609	957
828	4614	951
829	4619	946
830	4624	940
831	4629	934
832	4634	929
833	4639	923
834	4644	917
835	4650	912
836	4655	906
837	4660	900
838	4665	895
839	4670	889
840	4675	883
841	4680	878
842	4685	872
843	4690	867
844	4695	861
845	4700	855
846	4705	850
847	4711	844
848	4716	838
849	4721	833
850	4726	827
851	4731	821
852	4736	816
853	4741	810
854	4746	804
855	4751	799
856	4756	793
857	4761	788
858	4766	782
859	4771	776
860	4776	771
861	4781	765
862	4787	760
863	4793	754
864	4798	748
865	4803	743
866	4809	737
867	4814	732
868	4819	726
869	4824	720
870	4829	715
871	4834	709
872	4839	703
873	4844	698
874	4849	692
875	4854	687
876	4859	681
877	4864	675
878	4869	670
879	4874	664
880	4879	659
881	4884	653
882	4889	647
883	4894	642
884	4900	636
885	4905	631
886	4910	625
887	4915	619
888	4920	614
889	4925	608
890	4930	603
891	4935	597
892	4940	591
893	4945	586
894	4950	580
895	4955	575
896	4960	569
897	4965	564
898	4971	558
899	4976	552
900	4981	547
901	4986	541
902	4991	536
903	4996	530
904	5001	525
905	5006	519
906	5012	513
907	5017	508
908	5022	502
909	5027	497
910	5032	491
911	5037	486
912	5042	480
913	5048	474
914	5053	469
915	5058	463
916	5064	458
917	5069	452
918	5074	447
919	5079	441
920	5084	436
921	5089	430
922	5094	425
923	5099	419
924	5105	413
925	5110	408
926	5115	402
927	5120	397
928	5125	391
929	5130	386
