Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.9043719211822661,0.8446882217090069,0.990948275862069,0.9119913861498357,0.904371921182266
Random Forest,0.9268011083743842,0.8900205385026587,0.9739532019704433,0.9300971730150096,0.9268011083743842
XGBoost,0.9199199507389163,0.8818095291417054,0.9698275862068966,0.9237265769332278,0.9199199507389162
CatBoost,0.9210437192118227,0.8830350390723468,0.9706588669950739,0.9247759705498438,0.9210437192118226
Stacking Ensemble,0.9238916256157635,0.8870459912290566,0.9714901477832513,0.927349673778875,0.9238916256157634
